game,experiment_name,duration_minutes,total_steps,final_score,tasks_proposed,tasks_completed,tasks_failed,skills_acquired,unique_objects,task_success_rate
detective,detective_gpt-4.1_20250519_122250,3.559888271490733,400,60,276,274,1,274,2,0.9963636363636363
detective,detective_gpt-4.1_20250519_111547,0.7907306551933289,10,30,8,8,0,8,1,1.0
detective,detective_gpt-4.1_20250519_121756,0.6321032365163167,8,30,7,7,0,7,1,1.0
detective,detective_gpt-4.1_20250519_111646,4.089807399113973,400,60,250,246,4,246,2,0.984
detective,detective_gpt-4.1_20250519_122834,4.142911509672801,65,80,44,42,2,42,3,0.9545454545454546
detective,detective_gpt-4.1_20250519_111116,1.0173195242881774,12,30,8,7,1,7,1,0.875
zork1,zork1_gpt-4.1_20250519_165710,30.977195139726003,400,0,260,238,21,238,5,0.918918918918919
detective,detective_gpt-4.1_20250519_121908,3.320416967074076,51,80,34,32,2,32,2,0.9411764705882353
zork1,zork1_gpt-4.1_20250519_162141,31.129157503445942,400,5,245,225,19,225,3,0.9221311475409836
zork1,zork1_gpt-4.1_20250519_134702,32.92733803987503,400,0,301,294,7,294,2,0.9767441860465116
zork1,zork1_gpt-4.1_20250519_150648,33.2662144502004,400,40,205,180,24,180,9,0.8823529411764706
