first_word,completed,failed,total,success_rate
Turn,1.0,0.0,1.0,1.0
Take,83.0,0.0,83.0,1.0
Descend,1.0,0.0,1.0,1.0
Drop,28.0,0.0,28.0,1.0
Lift,5.0,0.0,5.0,1.0
Move,10.0,0.0,10.0,1.0
Read,169.0,1.0,170.0,0.9941176470588236
Look,225.0,2.0,227.0,0.9911894273127754
Go,812.0,13.0,825.0,0.9842424242424243
Examine,155.0,35.0,190.0,0.8157894736842105
Climb,25.0,8.0,33.0,0.7575757575757576
Open,36.0,15.0,51.0,0.7058823529411765
Put,2.0,2.0,4.0,0.5
Knock,1.0,1.0,2.0,0.5
Give,0.0,1.0,1.0,0.0
Fold,0.0,1.0,1.0,0.0
Compare,0.0,1.0,1.0,0.0
Attack,0.0,1.0,1.0,0.0
